dataset,pid,path,sx,sy,sz,nx,ny,nz,fov_x,fov_y,fov_z,raw_min,raw_max,mean,std,q01,q50,q99,frac_below,frac_above,eff_spacing_h,eff_spacing_w,slab_z_mm
train(totalseg),s0003,F:\Totalsegmentator_dataset_v201\nii\s0003.nii.gz,1.5,1.5,1.5,127,127,126,190.5,190.5,189.0,-1031.0,3077.0,-390.63916015625,530.7980346679688,-1022.0,-109.0,1045.0,0.0008935890887654791,0.010452433603279906,0.744140625,0.744140625,18.0
train(totalseg),s0002,F:\Totalsegmentator_dataset_v201\nii\s0002.nii.gz,1.0,1.0,1.0,185,128,101,185.0,128.0,101.0,-1217.966552734375,3183.026123046875,-528.7114868164062,533.927490234375,-1023.971435546875,-882.9707641601562,861.0103149414062,0.003363326197484613,0.006403866738025154,0.5,0.72265625,12.0
train(totalseg),s0009,F:\Totalsegmentator_dataset_v201\nii\s0009.nii.gz,1.5,1.5,1.5,119,119,185,178.5,178.5,277.5,-1033.0,2939.0,-95.12796020507812,314.8103942871094,-987.0,-42.0,548.0,9.008369385896406e-05,0.001668075178659631,0.697265625,0.697265625,18.0
train(totalseg),s0006,F:\Totalsegmentator_dataset_v201\nii\s0006.nii.gz,1.5,1.5,1.5,216,216,217,324.0,324.0,325.5,-1040.0,2382.0,-342.8603210449219,468.37896728515625,-1014.0,-106.0,454.0,0.0001985312245168876,0.0012024473269992982,1.265625,1.265625,18.0
train(totalseg),s0012,F:\Totalsegmentator_dataset_v201\nii\s0012.nii.gz,1.4999998807907104,1.5000001192092896,1.5,238,145,315,356.9999716281891,217.50001728534698,472.5,-1218.0,1576.0,-258.8746032714844,437.29876708984375,-1010.0,-57.0,444.0,0.0011491493148983731,0.0004034717335209946,0.8496094425208867,1.3945311391726136,18.0
train(totalseg),s0013,F:\Totalsegmentator_dataset_v201\nii\s0013.nii.gz,1.5,1.5,1.5,231,175,301,346.5,262.5,451.5,-1042.0,1703.0,-291.39630126953125,450.3815612792969,-1007.0,-98.0,506.0,1.4382074182738635e-05,0.0010314823603860149,1.025390625,1.353515625,18.0
train(totalseg),s0000,F:\Totalsegmentator_dataset_v201\nii\s0000.nii.gz,1.0,1.0,1.0,294,192,179,294.0,192.0,179.0,-1034.00927734375,1712.0,-515.5316162109375,503.90338134765625,-1024.0172119140625,-853.0134887695312,529.9832763671875,0.010447544939763615,0.004272484133318132,0.75,1.1484375,12.0
train(totalseg),s0001,F:\Totalsegmentator_dataset_v201\nii\s0001.nii.gz,1.0,1.0,1.0,249,188,213,249.0,188.0,213.0,-1327.0,2147.9990234375,-322.8459777832031,434.9066467285156,-1023.9840698242188,-111.00474548339844,452.99456787109375,0.0023137190400924286,0.0007521843433330391,0.734375,0.97265625,12.0
train(totalseg),s0025,F:\Totalsegmentator_dataset_v201\nii\s0025.nii.gz,1.0,1.0,1.0,59,90,139,59.0,90.0,139.0,-1633.9998779296875,3338.0,-193.21327209472656,504.9247741699219,-1024.0223388671875,12.029083251953125,1037.9901123046875,0.04880299150510101,0.010458074218591228,0.3515625,0.23046875,12.0
train(totalseg),s0010,F:\Totalsegmentator_dataset_v201\nii\s0010.nii.gz,1.5,1.5,1.5,259,259,283,388.5,388.5,424.5,-1044.0,1601.0,-546.6163330078125,496.0805358886719,-1024.0,-927.0,381.0,0.002754434935232062,0.0010909226909285906,1.517578125,1.517578125,18.0
train(totalseg),s0014,F:\Totalsegmentator_dataset_v201\nii\s0014.nii.gz,1.5,1.5,1.5,286,286,308,429.0,429.0,462.0,-1200.0,2380.0,-607.0639038085938,502.1949768066406,-1024.0,-1023.0,298.0,0.00536963036963037,0.0003668851809347677,1.67578125,1.67578125,18.0
train(totalseg),s0004,F:\Totalsegmentator_dataset_v201\nii\s0004.nii.gz,1.0,1.0,1.0,255,177,440,255.0,177.0,440.0,-1144.9781494140625,2926.99658203125,-442.3351135253906,493.3151550292969,-1024.02197265625,-153.02268981933594,346.0013732910156,0.038457355207105956,0.00022659294842744494,0.69140625,0.99609375,12.0
train(totalseg),s0019,F:\Totalsegmentator_dataset_v201\nii\s0019.nii.gz,1.5,1.5,1.5,221,221,407,331.5,331.5,610.5,-1527.0,3339.0,-414.7138671875,493.0088195800781,-1024.0,-124.0,459.0,0.005579956827272366,0.0007777328935235374,1.294921875,1.294921875,18.0
train(totalseg),s0021,F:\Totalsegmentator_dataset_v201\nii\s0021.nii.gz,1.5,1.5,1.5,185,185,218,277.5,277.5,327.0,-1072.0,3158.0,-528.1708984375,533.9874877929688,-1022.0,-880.0,654.0,0.0005865124649982335,0.0039056154547642877,1.083984375,1.083984375,18.0
