metric,dataset,n,mean,std,median,q05,q95
sx,train(totalseg),1223,1.4464431729164653,0.15462884598113513,1.5,1.0,1.5
sy,train(totalseg),1223,1.4464431727215197,0.15462884591361412,1.5,1.0,1.5
sz,train(totalseg),1223,1.4464431735013024,0.15462884618369738,1.5,1.0,1.5
fov_x,train(totalseg),1223,339.02534756617575,99.95175539836659,354.0,156.15,480.0
fov_y,train(totalseg),1223,326.5384301282496,103.12022807676476,346.5,144.1,478.5
fov_z,train(totalseg),1223,375.780866986596,200.46177853977937,337.5,109.65,712.0499999999994
raw_min,train(totalseg),1223,-1486.222962274185,1434.8350738118875,-1205.0,-3474.3,-1038.0
raw_max,train(totalseg),1223,2897.141610745222,1136.6331024442716,3161.0,1463.0,3663.9990234375
mean,train(totalseg),1223,-524.6475191182615,205.7424580157568,-524.2079467773438,-830.4607360839843,-216.64734344482434
std,train(totalseg),1223,537.2295975891763,240.62353302564406,489.8412780761719,427.3514678955078,1001.9789367675753
q01,train(totalseg),1223,-1195.636764016826,890.853604605187,-1024.0,-3024.0,-1007.0
q50,train(totalseg),1223,-622.2660398301977,377.80219393122843,-848.0,-987.0,-54.20000000000027
q99,train(totalseg),1223,543.34866849486,309.49582139815726,437.0,265.2,1292.9999999999986
frac_below,train(totalseg),1223,0.019585092287267996,0.05086868433335872,0.0036733582321817615,0.00018991216272301462,0.13228322429730532
frac_above,train(totalseg),1223,0.003808480215160377,0.007057012836374553,0.0013538584967156396,0.00018024083503196422,0.01748137068376776
eff_spacing_h,train(totalseg),1223,1.275540742688475,0.40281339092486235,1.353515625,0.562890625,1.869140625
eff_spacing_w,train(totalseg),1223,1.324317763930374,0.3904365445248695,1.3828125,0.6099609375,1.875
slab_z_mm,train(totalseg),1223,17.35731808201563,1.8555461542043687,18.0,12.0,18.0
sx,infer(airway),707,0.7129255828290882,0.08495548008992257,0.705078125,0.607421875,0.84375
sy,infer(airway),707,0.7129255828290882,0.08495548008992257,0.705078125,0.607421875,0.84375
sz,infer(airway),707,1.1370852659581574,0.33245425477100443,1.25,0.699999988079071,1.5
fov_x,infer(airway),707,370.1013496107563,32.666574754179486,363.0,320.3,432.0
fov_y,infer(airway),707,370.1013496107563,32.666574754179486,363.0,320.3,432.0
fov_z,infer(airway),707,336.2695792192617,64.92473771188605,330.0,276.075,414.0
raw_min,infer(airway),707,-68250464.34512022,360045483.6103118,-1579.0,-32768.0,-1023.0
raw_max,infer(airway),707,73810232.12022631,369964808.0503384,3071.0,1549.3,32767.0
mean,infer(airway),707,319629.0740850636,7817212.418733537,-633.9729614257812,-1121.550927734375,-261.6577880859388
std,infer(airway),707,2498594.4977755835,31981977.98969322,531.008544921875,458.40387573242185,2113.932617187479
q01,infer(airway),707,-5215309.726463933,92251486.557391,-1024.0,-3024.0,-1018.0
q50,infer(airway),707,-1126.7149929278642,8064.504699386256,-896.0,-981.7,0.0
q99,infer(airway),707,5846512.5008769445,94128988.15762945,458.0,277.6,895.6999999999999
frac_below,infer(airway),707,0.09429592196706914,0.11263543260072423,5.021469291957765e-07,0.0,0.22216796875
frac_above,infer(airway),707,0.0050207484085979534,0.028962593708641793,0.0018023450048507308,0.0003049513188639655,0.00784647297767711
eff_spacing_h,infer(airway),707,1.4457083969170168,0.12760380763351362,1.41796875,1.251171875,1.6875
eff_spacing_w,infer(airway),707,1.4457083969170168,0.12760380763351362,1.41796875,1.251171875,1.6875
slab_z_mm,infer(airway),707,13.64502319149789,3.989451057252053,15.0,8.399999856948853,18.0
